cms,name,url
dietrich-sds,Social and Decision Sciences,https://www.cmu.edu/dietrich/sds
dietrich-sds-risk,Center for Risk Perception and Communication,https://www.cmu.edu/dietrich/sds/risk
digital-vaccine-project,Digital Vaccine Project,https://www.cmu.edu/heinz/digital-vaccine-project
dining-2,Dining Services,https://www.cmu.edu/dining
disability-res,Disability Resources,https://www.cmu.edu/disability-resources
diversity,"Diversity, Equity and Inclusion",https://www.cmu.edu/diversity
dosa-caps-2,Counseling and Psychological Services (CaPS) ,https://www.cmu.edu/counseling
dosa-career-3,Career & Professional Development Center,https://www.cmu.edu/career
dosa-dean-2,Office of the Dean of Students,https://www.cmu.edu/student-affairs/dean
dosa-ocsi-2,Office of Community Standards & Integrity ,https://www.cmu.edu/student-affairs/ocsi
dosa-slice-2,"Student Leadership, Involvement, and Civic Engagement",https://www.cmu.edu/student-affairs/slice
dosa-spirituality-2,Religious & Spiritual Life Initiatives,https://www.cmu.edu/student-affairs/spirituality
dosa-wellness-2,Campus Wellness,https://www.cmu.edu/wellness
drbc,Disaster Recovery and Business Continuity Services,https://www.cmu.edu/drbc
edgecomputing,Edge Computing @ CMU Living Edge Lab,https://www.cmu.edu/scs/edgecomputing
education-2,Office of the Vice Provost for Education ,https://www.cmu.edu/education-office
ehs-2,Environmental Health & Safety,https://www.cmu.edu/ehs
emergent-materials-2,Skowronski Group: Emergent Electronic Materials & Devices,https://www.cmu.edu/engineering/materials/emergent-materials
energy-2,Wilton E. Scott Institute for Energy Innovation,https://www.cmu.edu/energy
energy-week,CMU Energy Week,https://www.cmu.edu/energy-week
engage,Engage with CMU,https://www.cmu.edu/engage
english-3,Department of English,https://www.cmu.edu/dietrich/english
entertainment-analytics,Initiative for Digital Entertainment Analytics,https://www.cmu.edu/entertainment-analytics
environment-3,Environment at CMU,https://www.cmu.edu/environment
epp-2,Engineering and Public Policy,https://www.cmu.edu/epp
erm,Enterprise Risk Management,https://www.cmu.edu/erm
estp-2,"Energy Science, Technology & Policy",https://www.cmu.edu/engineering/estp
executive-education,Executive Education at Carnegie Mellon,https://www.cmu.edu/tepper/exec-ed
external-news-2,News,https://www.cmu.edu/news
faculty-office-2,Vice Provost for Faculty,https://www.cmu.edu/faculty-office
faculty-senate-2,Faculty Senate,https://www.cmu.edu/faculty-senate
facultystaff-2,Enrollment Services,https://www.cmu.edu/es
fellowships-2,Fellowships and Scholarships Office,https://www.cmu.edu/fso
finaid-2,Student Financial Services,https://www.cmu.edu/sfs
finance-2,Finance Division,https://www.cmu.edu/finance
finance-annual-report-2017,Annual Financial Report 2017,https://www.cmu.edu/annual-report-2017
finance-annual-report-2018,Annual Financial Report 2018,https://www.cmu.edu/annual-report-2018
finance-annual-report-2019,Annual Financial Report 2019,https://www.cmu.edu/annual-report-2019
finance-annual-report-2020,Annual Financial Report 2020,https://www.cmu.edu/annual-report-2020
finance-audit-2,University Audit Services,https://www.cmu.edu/finance/audit-services
finance-budget-2,Budget and Financial Planning,https://www.cmu.edu/finance/budget
finance-cfo-2,Chief Financial Officer,https://www.cmu.edu/finance/cfo
finance-contracts-2,University Contracts Office,https://www.cmu.edu/contracts
finance-controller-2,Controller's Office,https://www.cmu.edu/finance/controller
finance-international-2,International Finance,https://www.cmu.edu/finance/international
finance-intranet,Finance Division Intranet,https://www.cmu.edu/finance/intranet
finance-investment-2,Investment Office,https://www.cmu.edu/investment-office
finance-pci-dss-2,PCI DSS,https://www.cmu.edu/finance/pcidss
finance-procurement-2,Procurement Services,https://www.cmu.edu/finance/procurementservices
finance-property-2,Property Accounting Services - Equipment,https://www.cmu.edu/finance/property-equipment
finance-reporting-2,Financial Reporting and Incoming Funds,https://www.cmu.edu/finance/reporting-and-incoming-funds
finance-spa-2,Sponsored Projects Accounting / Cost Analysis,https://www.cmu.edu/finance/spa-cost
finance-space-2,Property Accounting Services - Space,https://www.cmu.edu/finance/property-space
